,oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
7429,0.0068181818181818,10.0,73.0,0.0,1,231.0,0.875
7430,0.0659090909090909,43.0,1274.0,0.0,1,649.0,0.75
7431,0.0681818181818181,21.0,790.0,0.0,1,692.0,0.875
7432,0.0045454545454545,6.0,54.0,0.0,1,166.0,0.75
7433,0.2590909090909091,38.0,4092.0,0.0,1,860.0,0.0
7434,0.0249999999999999,11.0,700.0,0.0,1,261.0,0.75
7435,0.0068181818181818,22.0,829.0,0.0,1,297.0,1.0
7436,0.0159090909090909,21.0,651.0,0.0,1,470.0,1.0
7437,0.0022727272727272,0.0,23.0,0.0,1,168.0,0.875
7438,0.125,44.0,913.0,0.0,1,857.0,0.875
7439,0.0204545454545454,40.0,342.0,0.0,1,423.0,0.875
7440,0.0681818181818181,11.0,371.0,0.0,1,259.0,1.0
7441,0.0499999999999999,15.0,811.0,0.0,1,374.0,0.75
7442,0.0068181818181818,21.0,599.0,0.0,1,242.0,0.75
7443,0.0159090909090909,24.0,134.0,0.0,1,572.0,0.625
7444,0.0113636363636363,14.0,15.0,0.0,1,312.0,0.75
7445,0.0522727272727272,16.0,327.0,0.0,1,486.0,0.875
7446,0.084090909090909,37.0,51.0,0.0,1,909.0,0.75
7447,0.0568181818181818,41.0,1046.0,0.0,1,662.0,0.875
7448,0.0068181818181818,1.0,37.0,0.0,0,186.0,0.0
7449,0.0886363636363636,28.0,994.0,0.0,1,459.0,0.875
7450,0.009090909090909,4.0,55.0,0.0,1,74.0,0.625
7451,0.0136363636363636,29.0,752.0,0.0,1,437.0,0.875
7452,0.0727272727272727,52.0,1548.0,0.0,1,723.0,0.875
7453,0.0,19.0,3.0,0.0,1,173.0,0.0
7454,0.0613636363636363,25.0,1114.0,0.0,1,359.0,0.875
7455,0.0,2.0,5.0,0.0,1,52.0,0.75
7456,0.0568181818181818,34.0,857.0,0.0,1,450.0,0.75
7457,0.0909090909090909,8.0,227.0,0.0,1,324.0,0.875
7458,0.0795454545454545,46.0,125.0,1.0,1,610.0,0.875
7459,0.3977272727272727,53.0,927.0,0.0,1,1254.0,1.0
7460,0.0227272727272727,26.0,692.0,0.0,1,401.0,0.875
7461,0.0181818181818181,16.0,242.0,0.0,1,217.0,0.75
7462,0.0454545454545454,17.0,430.0,0.0,1,252.0,0.75
7463,0.0136363636363636,13.0,27.0,0.0,1,242.0,0.75
7464,0.0022727272727272,0.0,8.0,0.0,1,209.0,0.5
7465,0.0136363636363636,18.0,163.0,0.0,1,362.0,1.0
7466,0.0954545454545454,134.0,208.0,0.0,1,1390.0,0.875
7467,0.0045454545454545,0.0,5.0,0.0,1,57.0,1.0
7468,0.009090909090909,8.0,172.0,0.0,1,150.0,0.875
7469,0.0659090909090909,26.0,1117.0,0.0,1,506.0,0.875
7470,0.0113636363636363,18.0,100.0,0.0,1,331.0,0.75
7471,0.009090909090909,17.0,208.0,0.0,1,292.0,1.0
7472,0.0181818181818181,38.0,150.0,0.0,1,467.0,0.875
7473,0.0249999999999999,1.0,1017.0,0.0,1,129.0,0.875
7474,0.0022727272727272,0.0,16.0,0.0,1,462.0,0.75
7475,0.009090909090909,7.0,14.0,0.0,1,161.0,0.75
7476,0.0068181818181818,8.0,212.0,0.0,1,117.0,0.75
7477,0.0159090909090909,21.0,40.0,0.0,1,324.0,0.875
7478,0.0204545454545454,21.0,266.0,0.0,1,273.0,0.875
7479,0.0704545454545454,29.0,1316.0,0.0,1,601.0,0.875
7480,0.0704545454545454,18.0,617.0,0.0,1,339.0,1.0
7481,0.0113636363636363,45.0,207.0,0.0,1,650.0,0.875
7482,0.0272727272727272,7.0,91.0,0.0,1,310.0,0.75
7483,0.0181818181818181,36.0,341.0,0.0,1,472.0,0.875
7484,0.1386363636363636,37.0,741.0,0.0,1,880.0,0.875
7485,0.0068181818181818,0.0,303.0,0.0,1,191.0,0.75
7486,0.0454545454545454,18.0,751.0,0.0,1,527.0,0.75
7487,0.0204545454545454,19.0,132.0,0.0,1,393.0,0.0
7488,0.0386363636363636,9.0,222.0,0.0,1,225.0,1.0
7489,0.0045454545454545,25.0,6.0,0.0,1,264.0,0.875
7490,0.0227272727272727,22.0,501.0,0.0,1,327.0,0.875
7491,0.009090909090909,10.0,686.0,0.0,1,266.0,0.75
7492,0.0159090909090909,32.0,391.0,0.0,1,315.0,0.875
7493,0.0,0.0,3.0,0.0,1,199.0,0.5
7494,0.009090909090909,92.0,1973.0,0.0,1,841.0,0.625
7495,0.8727272727272727,76.0,1791.0,0.0,1,2484.0,0.0
7496,0.0795454545454545,22.0,528.0,0.0,1,357.0,0.75
7497,0.0068181818181818,1.0,679.0,0.0,1,146.0,0.0
7498,0.059090909090909,30.0,1230.0,0.0,1,683.0,0.875
7499,0.0204545454545454,4.0,648.0,0.0,1,226.0,0.875
7500,0.0,6.0,6.0,0.0,1,65.0,1.0
7501,0.0772727272727272,7.0,1323.0,0.0,1,228.0,0.75
7502,0.0022727272727272,1.0,4.0,0.0,1,21.0,1.0
7503,0.084090909090909,97.0,275.0,0.0,1,1113.0,0.875
7504,0.0909090909090909,48.0,561.0,1.0,1,723.0,0.875
7505,0.0477272727272727,20.0,977.0,0.0,1,363.0,0.875
7506,0.0022727272727272,1.0,21.0,0.0,1,15.0,0.875
7507,0.0022727272727272,2.0,4.0,0.0,1,44.0,0.875
7508,0.0022727272727272,6.0,3.0,0.0,1,185.0,1.0
7509,0.084090909090909,39.0,311.0,0.0,1,570.0,0.75
7510,0.0068181818181818,19.0,194.0,0.0,1,277.0,1.0
7511,0.0568181818181818,13.0,677.0,0.0,1,262.0,1.0
7512,0.0,0.0,2.0,0.0,1,112.0,0.0
7513,0.0068181818181818,18.0,169.0,0.0,1,257.0,0.875
7514,0.0409090909090909,34.0,605.0,0.0,1,524.0,1.0
7515,0.0068181818181818,0.0,1582.0,0.0,1,34.0,0.0
7516,0.0272727272727272,23.0,111.0,0.0,1,281.0,1.0
7517,0.0045454545454545,4.0,8.0,0.0,1,206.0,0.875
7518,0.0045454545454545,9.0,9.0,0.0,1,112.0,0.875
7519,0.0272727272727272,23.0,217.0,0.0,1,266.0,0.75
7520,0.2386363636363636,45.0,1484.0,0.0,1,1023.0,0.75
7521,0.0022727272727272,9.0,28.0,0.0,0,350.0,1.0
7522,0.034090909090909,77.0,1347.0,0.0,1,755.0,0.875
7523,0.0249999999999999,28.0,283.0,0.0,1,689.0,0.75
7524,0.0227272727272727,12.0,252.0,0.0,1,281.0,0.5
7525,0.0181818181818181,13.0,167.0,0.0,1,241.0,0.75
7526,0.0159090909090909,36.0,251.0,0.0,1,654.0,0.875
7527,0.0045454545454545,0.0,78.0,0.0,1,215.0,1.0
7528,0.0681818181818181,18.0,758.0,0.0,1,484.0,0.75
